sigma,prevalence,n,info,anchor,lam,rel_mean,rel_median,rel_p90,share_worse,max_weight_p90
0.75,0.05,100,MIS-G-2000,PPS-A,1.0,0.9023268160971234,0.9012729591157422,0.9074082652885775,0.0,185456.06760838607
0.75,0.05,400,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.05,400,COR-10000,PPS-A,0.25,0.925434162194645,0.9254743358590278,0.9291689538354498,0.0,15286.47941636235
0.75,0.05,400,COR-10000,PPS-A,0.5,0.8839812278767364,0.8839248817480996,0.8881540106612253,0.0,16856.210369082386
0.75,0.05,400,COR-10000,PPS-A,0.75,0.8622119735205697,0.862033932701755,0.8652406125516453,0.0,24084.12994446505
0.75,0.05,400,COR-10000,PPS-A,1.0,0.8562023663173365,0.8556861019142169,0.8580593927967938,0.0,42163.99044015407
0.75,0.05,400,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.05,400,COR-2000,PPS-A,0.25,0.9250784494194467,0.924515168598748,0.934028790738183,0.0,15858.784760190472
0.75,0.05,400,COR-2000,PPS-A,0.5,0.8853011358483398,0.8849662650815578,0.8960558651828838,0.0,17386.40988692085
0.75,0.05,400,COR-2000,PPS-A,0.75,0.8665075109712294,0.8655027981260116,0.8745752724875561,0.0,25681.82167540461
0.75,0.05,400,COR-2000,PPS-A,1.0,0.8654748484107637,0.8636849763960837,0.8767347753675142,0.0,50264.35564154598
0.75,0.05,400,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.05,400,COR-500,PPS-A,0.25,0.9290323278731514,0.9275198212501259,0.9472659694845144,0.005,17659.46774437107
0.75,0.05,400,COR-500,PPS-A,0.5,0.8992686118531016,0.8945718450042608,0.9260041859033249,0.005,20802.51071273806
0.75,0.05,400,COR-500,PPS-A,0.75,0.899579380846928,0.8843143028802476,0.9355298214036528,0.035,32154.889398784173
0.75,0.05,400,COR-500,PPS-A,1.0,4.416590328915154,0.9004444959020659,1.0035814195830108,0.11,130590.89256946447
0.75,0.05,400,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.05,400,MIS-G-2000,PPS-A,0.25,0.9499594085175529,0.950145500687199,0.9565281079409732,0.0,17959.451356355697
0.75,0.05,400,MIS-G-2000,PPS-A,0.5,0.9183033369124313,0.9182500368839368,0.9264238724456919,0.0,21654.676715721507
0.75,0.05,400,MIS-G-2000,PPS-A,0.75,0.9008785472258638,0.9002245332591874,0.9082214419108549,0.0,27264.439898319244
0.75,0.05,400,MIS-G-2000,PPS-A,1.0,0.897038680054711,0.8958341732346395,0.9020813113248585,0.0,46313.80101989634
0.75,0.25,100,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.25,100,COR-10000,PPS-A,0.25,0.9660079446546267,0.9659705757247559,0.9671166137192887,0.0,59883.11597013118
0.75,0.25,100,COR-10000,PPS-A,0.5,0.9426240615450451,0.9425559239355703,0.9441030942921422,0.0,63007.32556636146
0.75,0.25,100,COR-10000,PPS-A,0.75,0.9286922456534641,0.9286150265510869,0.9299094040182464,0.0,83751.80296816092
0.75,0.25,100,COR-10000,PPS-A,1.0,0.9241815937955634,0.9241117839096099,0.9245049682759281,0.0,124860.90468605577
0.75,0.25,100,COR-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.25,100,COR-2000,PPS-A,0.25,0.9663336070969593,0.9663012089281774,0.9688015012424299,0.0,61473.997165290195
0.75,0.25,100,COR-2000,PPS-A,0.5,0.9432880923906388,0.9431656950161039,0.9466343059881096,0.0,64934.10351996716
0.75,0.25,100,COR-2000,PPS-A,0.75,0.9297615514157884,0.929453145153657,0.9327019141194051,0.0,88868.53362448688
0.75,0.25,100,COR-2000,PPS-A,1.0,0.925858531049911,0.92545851237739,0.9274959557790964,0.0,140998.20187922614
0.75,0.25,100,COR-500,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.25,100,COR-500,PPS-A,0.25,0.9661988136414362,0.9660871045098861,0.9710909507213626,0.0,63335.04576080143
0.75,0.25,100,COR-500,PPS-A,0.5,0.9444244535827374,0.9440677615628648,0.9511310937078876,0.0,67757.77957640609
0.75,0.25,100,COR-500,PPS-A,0.75,0.9337127922009866,0.9321712846740214,0.9401404608781051,0.0,93645.08695950425
0.75,0.25,100,COR-500,PPS-A,1.0,0.9357601291150598,0.932223865082467,0.9432087229585185,0.01,165951.45257553272
0.75,0.25,100,MIS-G-2000,PPS-A,0.0,1.0,1.0,1.0,0.0,61366.09412681075
0.75,0.25,100,MIS-G-2000,PPS-A,0.25,0.9741916200205983,0.9742829456324467,0.9762510412021781,0.0,68852.52031094894
0.75,0.25,100,MIS-G-2000,PPS-A,0.5,0.955944141993563,0.9560133647994964,0.9588392696827596,0.0,78419.38229671323
0.75,0.25,100,MIS-G-2000,PPS-A,0.75,0.9449101678767087,0.9447820023416207,0.9472651086264808,0.0,91073.83378289959
0.75,0.25,100,MIS-G-2000,PPS-A,1.0,0.9414136609359237,0.9411410631155217,0.9425479329347594,0.0,119967.84124085114
0.75,0.25,400,COR-10000,PPS-A,0.0,1.0,1.0,1.0,0.0,15341.523531702687
0.75,0.25,400,COR-10000,PPS-A,0.25,0.9654950702190671,0.9654555484818426,0.9666154202719531,0.0,14970.179192215079
0.75,0.25,400,COR-10000,PPS-A,0.5,0.9420828754497754,0.9420126828739377,0.9435536895074065,0.0,15751.299840537768
0.75,0.25,400,COR-10000,PPS-A,0.75,0.9285332856010439,0.928459098122651,0.9296807691085021,0.0,20936.542001433074
