dgp,sigma,prevalence,n,estimand,design,AV
STRATCAP,0.0,0.7,400,rate,ST-EQD/DIFF,470343.3367499997
STRATCAP,0.0,0.7,400,rate,PPS-A/DIFF(fixed),869268.5258172884
STRATCAP,0.0,0.7,400,dollars,SRSWOR/DIFF,198403058858.80164
STRATCAP,0.0,0.7,400,dollars,ST-PROP/DIFF,196456349805.88898
STRATCAP,0.0,0.7,400,dollars,ST-EQD/DIFF,58505107258.85476
STRATCAP,0.0,0.7,400,dollars,PPS-A/DIFF(fixed),50461728932.79875
STRATCAP,0.75,0.05,100,rate,SRSWOR/DIFF,176051.1220411676
STRATCAP,0.75,0.05,100,rate,ST-PROP/DIFF,180234.24265737899
STRATCAP,0.75,0.05,100,rate,ST-EQD/DIFF,239319.92389161495
STRATCAP,0.75,0.05,100,rate,PPS-A/DIFF(fixed),410569.24442429404
STRATCAP,0.75,0.05,100,dollars,SRSWOR/DIFF,669192627283.9728
STRATCAP,0.75,0.05,100,dollars,ST-PROP/DIFF,735569143466.7031
STRATCAP,0.75,0.05,100,dollars,ST-EQD/DIFF,119543813040.64563
STRATCAP,0.75,0.05,100,dollars,PPS-A/DIFF(fixed),104814517365.23878
STRATCAP,0.75,0.05,400,rate,SRSWOR/DIFF,43349.27125636791
STRATCAP,0.75,0.05,400,rate,ST-PROP/DIFF,43225.519340741645
STRATCAP,0.75,0.05,400,rate,ST-EQD/DIFF,59166.47171897975
STRATCAP,0.75,0.05,400,rate,PPS-A/DIFF(fixed),101978.8251239493
STRATCAP,0.75,0.05,400,dollars,SRSWOR/DIFF,164776074054.84756
STRATCAP,0.75,0.05,400,dollars,ST-PROP/DIFF,162896586198.22726
STRATCAP,0.75,0.05,400,dollars,ST-EQD/DIFF,27363870494.01578
STRATCAP,0.75,0.05,400,dollars,PPS-A/DIFF(fixed),23683573091.557995
STRATCAP,0.75,0.25,100,rate,SRSWOR/DIFF,648275.5289441617
STRATCAP,0.75,0.25,100,rate,ST-PROP/DIFF,650442.5000165121
STRATCAP,0.75,0.25,100,rate,ST-EQD/DIFF,1267789.550083016
STRATCAP,0.75,0.25,100,rate,PPS-A/DIFF(fixed),2272115.124606337
STRATCAP,0.75,0.25,100,dollars,SRSWOR/DIFF,728732694177.3342
STRATCAP,0.75,0.25,100,dollars,ST-PROP/DIFF,786686503348.1721
STRATCAP,0.75,0.25,100,dollars,ST-EQD/DIFF,223641787847.68494
STRATCAP,0.75,0.25,100,dollars,PPS-A/DIFF(fixed),199653312063.47327
STRATCAP,0.75,0.25,400,rate,SRSWOR/DIFF,159625.6327550951
STRATCAP,0.75,0.25,400,rate,ST-PROP/DIFF,159644.32673426846
STRATCAP,0.75,0.25,400,rate,ST-EQD/DIFF,314504.13803980866
STRATCAP,0.75,0.25,400,rate,PPS-A/DIFF(fixed),565585.3413183221
STRATCAP,0.75,0.25,400,dollars,SRSWOR/DIFF,179436693541.15265
STRATCAP,0.75,0.25,400,dollars,ST-PROP/DIFF,177705797240.4162
STRATCAP,0.75,0.25,400,dollars,ST-EQD/DIFF,53163966958.74032
STRATCAP,0.75,0.25,400,dollars,PPS-A/DIFF(fixed),47168455130.0031
STRATCAP,0.75,0.7,100,rate,SRSWOR/DIFF,783353.8099515139
STRATCAP,0.75,0.7,100,rate,ST-PROP/DIFF,778931.7242360038
STRATCAP,0.75,0.7,100,rate,ST-EQD/DIFF,2044606.8951244298
STRATCAP,0.75,0.7,100,rate,PPS-A/DIFF(fixed),3832917.492257282
STRATCAP,0.75,0.7,100,dollars,SRSWOR/DIFF,216697190808.036
STRATCAP,0.75,0.7,100,dollars,ST-PROP/DIFF,227461067579.0794
STRATCAP,0.75,0.7,100,dollars,ST-EQD/DIFF,146835088158.78323
STRATCAP,0.75,0.7,100,dollars,PPS-A/DIFF(fixed),123718881633.86813
STRATCAP,0.75,0.7,400,rate,SRSWOR/DIFF,192886.11400816173
STRATCAP,0.75,0.7,400,rate,ST-PROP/DIFF,193004.50104282802
STRATCAP,0.75,0.7,400,rate,ST-EQD/DIFF,508199.38530139066
STRATCAP,0.75,0.7,400,rate,PPS-A/DIFF(fixed),955276.6254124345
