dgp,sigma,prevalence,n0,estimand,design_estimator,n_equal_precision
MAIN,1.5,0.25,400,rate,SRSWOR/EXP,399.9999997776643
MAIN,1.5,0.25,400,rate,ST-PROP/EXP,382.4693832059093
MAIN,1.5,0.25,400,rate,ST-EQD/EXP,768.4782478662553
MAIN,1.5,0.25,400,rate,PPS-A/HT,1299.718475948239
MAIN,1.5,0.25,400,rate,RA-OR/HT,430.5267475554306
MAIN,1.5,0.25,400,rate,EQ-P/DIFF-OR,293.2382784337649
MAIN,1.5,0.25,400,rate,SRSWOR/DIFF-OR,293.2382784337649
MAIN,1.5,0.25,400,rate,RA-OR/DIFF-OR,264.35143830093233
MAIN,1.5,0.25,400,dollars,EQ-P/HT,433.167258588297
MAIN,1.5,0.25,400,dollars,SRSWOR/EXP,399.99999977766436
MAIN,1.5,0.25,400,dollars,ST-PROP/EXP,257.2186025806115
MAIN,1.5,0.25,400,dollars,ST-EQD/EXP,68.06588877879838
MAIN,1.5,0.25,400,dollars,PPS-A/HT,89.41177604517534
MAIN,1.5,0.25,400,dollars,RA-OR/HT,78.51519180121142
MAIN,1.5,0.25,400,dollars,EQ-P/DIFF-OR,164.2721994961709
MAIN,1.5,0.25,400,dollars,SRSWOR/DIFF-OR,164.2721994961709
MAIN,1.5,0.25,400,dollars,RA-OR/DIFF-OR,38.61151955730161
MAIN,1.5,0.7,100,rate,EQ-P/HT,329.4852821357759
MAIN,1.5,0.7,100,rate,SRSWOR/EXP,100.0
MAIN,1.5,0.7,100,rate,ST-PROP/EXP,95.8508014650226
MAIN,1.5,0.7,100,rate,ST-EQD/EXP,241.75723083397588
MAIN,1.5,0.7,100,rate,PPS-A/HT,1067.1257772335616
MAIN,1.5,0.7,100,rate,RA-OR/HT,318.154978506532
MAIN,1.5,0.7,100,rate,EQ-P/DIFF-OR,75.34809354578671
MAIN,1.5,0.7,100,rate,SRSWOR/DIFF-OR,75.34809354578672
MAIN,1.5,0.7,100,rate,RA-OR/DIFF-OR,69.1571800923326
MAIN,1.5,0.7,100,dollars,EQ-P/HT,125.35237240556546
MAIN,1.5,0.7,100,dollars,SRSWOR/EXP,100.00000000000001
MAIN,1.5,0.7,100,dollars,ST-PROP/EXP,10.090772647682552
MAIN,1.5,0.7,100,dollars,ST-EQD/EXP,10.171746249271553
MAIN,1.5,0.7,100,dollars,PPS-A/HT,31.12123214133998
MAIN,1.5,0.7,100,dollars,RA-OR/HT,30.668858174448314
MAIN,1.5,0.7,100,dollars,EQ-P/DIFF-OR,11.945388417296984
MAIN,1.5,0.7,100,dollars,SRSWOR/DIFF-OR,11.945388417296986
MAIN,1.5,0.7,100,dollars,RA-OR/DIFF-OR,10.0
MAIN,1.5,0.7,400,rate,EQ-P/HT,1273.8705929777966
MAIN,1.5,0.7,400,rate,SRSWOR/EXP,399.99999977766424
MAIN,1.5,0.7,400,rate,ST-PROP/EXP,383.6431772967585
MAIN,1.5,0.7,400,rate,ST-EQD/EXP,967.6341856039037
MAIN,1.5,0.7,400,rate,PPS-A/HT,3756.355550797019
MAIN,1.5,0.7,400,rate,RA-OR/HT,1230.064871210263
MAIN,1.5,0.7,400,rate,EQ-P/DIFF-OR,302.51663728257955
MAIN,1.5,0.7,400,rate,SRSWOR/DIFF-OR,302.51663728257955
MAIN,1.5,0.7,400,rate,RA-OR/DIFF-OR,277.66060931834215
MAIN,1.5,0.7,400,dollars,EQ-P/HT,499.5004161698618
MAIN,1.5,0.7,400,dollars,SRSWOR/EXP,399.9999997776643
MAIN,1.5,0.7,400,dollars,ST-PROP/EXP,122.46774975649647
MAIN,1.5,0.7,400,dollars,ST-EQD/EXP,41.119075888357536
MAIN,1.5,0.7,400,dollars,PPS-A/HT,124.01096281824486
MAIN,1.5,0.7,400,dollars,RA-OR/HT,122.20835633196953
MAIN,1.5,0.7,400,dollars,EQ-P/DIFF-OR,48.424367012441245
MAIN,1.5,0.7,400,dollars,SRSWOR/DIFF-OR,48.42436701244122
MAIN,1.5,0.7,400,dollars,RA-OR/DIFF-OR,15.860098171209927
STRATCAP,0.0,0.05,100,rate,EQ-P/HT,105.23546434187809
STRATCAP,0.0,0.05,100,rate,SRSWOR/EXP,100.00000000000001
STRATCAP,0.0,0.05,100,rate,ST-PROP/EXP,100.00000024053791
STRATCAP,0.0,0.05,100,rate,ST-EQD/EXP,225.97301748101216
STRATCAP,0.0,0.05,100,rate,PPS-A/HT,437.71911209580225
STRATCAP,0.0,0.05,100,rate,RA-OR/HT,105.23546434187809
STRATCAP,0.0,0.05,100,rate,EQ-P/DIFF-OR,100.0
STRATCAP,0.0,0.05,100,rate,SRSWOR/DIFF-OR,100.00000000000001
STRATCAP,0.0,0.05,100,rate,RA-OR/DIFF-OR,100.0
STRATCAP,0.0,0.05,100,dollars,EQ-P/HT,101.35771805314091
STRATCAP,0.0,0.05,100,dollars,SRSWOR/EXP,100.0
STRATCAP,0.0,0.05,100,dollars,ST-PROP/EXP,96.99640570473049
STRATCAP,0.0,0.05,100,dollars,ST-EQD/EXP,29.959768207452488
STRATCAP,0.0,0.05,100,dollars,PPS-A/HT,27.294518709575296
STRATCAP,0.0,0.05,100,dollars,RA-OR/HT,27.29451870957529
STRATCAP,0.0,0.05,100,dollars,EQ-P/DIFF-OR,96.31423744002866
STRATCAP,0.0,0.05,100,dollars,SRSWOR/DIFF-OR,96.31423744002865
STRATCAP,0.0,0.05,100,dollars,RA-OR/DIFF-OR,25.936364900998573
STRATCAP,0.0,0.05,400,rate,EQ-P/HT,420.6098841560083
STRATCAP,0.0,0.05,400,rate,SRSWOR/EXP,399.9999997776643
STRATCAP,0.0,0.05,400,rate,ST-PROP/EXP,399.9999999999999
STRATCAP,0.0,0.05,400,rate,ST-EQD/EXP,903.8920698496689
STRATCAP,0.0,0.05,400,rate,PPS-A/HT,1714.8776651148569
STRATCAP,0.0,0.05,400,rate,RA-OR/HT,420.6098841560083
STRATCAP,0.0,0.05,400,rate,EQ-P/DIFF-OR,399.9999997776643
STRATCAP,0.0,0.05,400,rate,SRSWOR/DIFF-OR,399.9999997776643
