dgp,sigma,prevalence,n,estimand,design,estimator,AV,min_pi,max_pi,max_weight,cv_weights,n_certainty,sd_size,AV_fixed_hajek,nh
MAIN,0.0,0.25,400,dollars,RA-OR,DIFF-OR,45061680459.277405,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,45055115118.570335,
MAIN,0.0,0.7,100,rate,EQ-P,HT,2786000.0000000005,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999997,
MAIN,0.0,0.7,100,rate,SRSWOR,EXP,835799.9999999999,,,,,,,,
MAIN,0.0,0.7,100,rate,ST-PROP,EXP,836331.7574407895,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.0,0.7,100,rate,ST-EQD,EXP,1893973.3469999998,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.0,0.7,100,rate,PPS-A,HT,11632392.418201886,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,9655190.306929218,
MAIN,0.0,0.7,100,rate,RA-OR,HT,2786000.0000000005,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999997,
MAIN,0.0,0.7,100,rate,DEF-0.25-OR,HT,2786000.0000000005,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999997,
MAIN,0.0,0.7,100,rate,DEF-0.5-OR,HT,2786000.0000000005,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999997,
MAIN,0.0,0.7,100,rate,DEF-0.75-OR,HT,2786000.0000000005,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999997,
MAIN,0.0,0.7,100,rate,EQ-P,DIFF-OR,835799.9999999995,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999995,
MAIN,0.0,0.7,100,rate,SRSWOR,DIFF-OR,835799.9999999999,,,,,,,,
MAIN,0.0,0.7,100,rate,RA-OR,DIFF-OR,835799.9999999995,0.005,0.005,200.0,0.0,0.0,9.974968671630002,835758.2099999995,
MAIN,0.0,0.7,100,dollars,EQ-P,HT,2685864538292.623,0.005,0.005,200.0,0.0,0.0,9.974968671630002,2179532604219.477,
MAIN,0.0,0.7,100,dollars,SRSWOR,EXP,2179641586298.7915,,,,,,,,
MAIN,0.0,0.7,100,dollars,ST-PROP,EXP,1153520281934.1836,,,,,,,,"[np.int64(64), np.int64(19), np.int64(10), np.int64(5), np.int64(2)]"
MAIN,0.0,0.7,100,dollars,ST-EQD,EXP,319956731970.6012,,,,,,,,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
MAIN,0.0,0.7,100,dollars,PPS-A,HT,713411515033.8083,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,213986136229.9892,
MAIN,0.0,0.7,100,dollars,RA-OR,HT,713411515033.8083,1.629564361605836e-05,0.18870088778906777,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,213986136229.9892,
MAIN,0.0,0.7,100,dollars,DEF-0.25-OR,HT,1212722260180.7136,0.0037540739109040142,0.05092522194726694,266.377280717734,0.2762640542931926,0.0,9.970717309768313,709408199495.3988,
MAIN,0.0,0.7,100,dollars,DEF-0.5-OR,HT,908137922010.0719,0.0025081478218080292,0.09685044389453389,398.7005834764307,0.5175741825262512,0.0,9.95795233395169,406979422340.1229,
MAIN,0.0,0.7,100,dollars,DEF-0.75-OR,HT,769558443937.3542,0.0012622217327120438,0.14277566584180082,792.2538283755999,0.8337664922857714,0.0,9.936640933525839,269697635159.85315,
MAIN,0.0,0.7,100,dollars,EQ-P,DIFF-OR,805759361487.7864,0.005,0.005,200.0,0.0,0.0,9.974968671630002,805719073519.712,
MAIN,0.0,0.7,100,dollars,SRSWOR,DIFF-OR,805759361487.7863,,,,,,,,
MAIN,0.0,0.7,100,dollars,RA-OR,DIFF-OR,214023454510.14233,1.629564361605836e-05,0.1887008877890678,61366.09412681075,1.7774773876602563,0.0,9.90672795331615,213986136229.989,
MAIN,0.0,0.7,400,rate,EQ-P,HT,686000.0000000002,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.71000000025,
MAIN,0.0,0.7,400,rate,SRSWOR,EXP,205799.99999999997,,,,,,,,
MAIN,0.0,0.7,400,rate,ST-PROP,EXP,205806.03580620378,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]"
MAIN,0.0,0.7,400,rate,ST-EQD,EXP,470343.3367499999,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]"
MAIN,0.0,0.7,400,rate,PPS-A,HT,2897598.1045504715,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,2389236.143878749,
MAIN,0.0,0.7,400,rate,RA-OR,HT,686000.0000000002,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.71000000025,
MAIN,0.0,0.7,400,rate,DEF-0.25-OR,HT,686000.0000000002,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.71000000025,
MAIN,0.0,0.7,400,rate,DEF-0.5-OR,HT,686000.0000000002,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.71000000025,
MAIN,0.0,0.7,400,rate,DEF-0.75-OR,HT,686000.0000000002,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.71000000025,
MAIN,0.0,0.7,400,rate,EQ-P,DIFF-OR,205799.9999999999,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.7099999999,
MAIN,0.0,0.7,400,rate,SRSWOR,DIFF-OR,205799.99999999997,,,,,,,,
MAIN,0.0,0.7,400,rate,RA-OR,DIFF-OR,205799.9999999999,0.02,0.02,50.0,0.0,0.0,19.798989873223334,205789.7099999999,
MAIN,0.0,0.7,400,dollars,EQ-P,HT,661343529529.3392,0.02,0.02,50.0,0.0,0.0,19.798989873223334,536668832194.74536,
MAIN,0.0,0.7,400,dollars,SRSWOR,EXP,536695666978.09436,,,,,,,,
MAIN,0.0,0.7,400,dollars,ST-PROP,EXP,258397984223.05933,,,,,,,,"[np.int64(254), np.int64(75), np.int64(40), np.int64(22), np.int64(9)]"
MAIN,0.0,0.7,400,dollars,ST-EQD,EXP,75994201415.38385,,,,,,,,"[np.int64(80), np.int64(80), np.int64(80), np.int64(80), np.int64(80)]"
MAIN,0.0,0.7,400,dollars,PPS-A,HT,168230273714.63568,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,50461728932.79877,
MAIN,0.0,0.7,400,dollars,RA-OR,HT,168230273714.63568,6.518257446423344e-05,0.7548035511562711,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,50461728932.79877,
MAIN,0.0,0.7,400,dollars,DEF-0.25-OR,HT,293057960001.36206,0.015016295643616057,0.20370088778906775,66.5943201794335,0.2762640542931926,0.0,19.76469728432529,171390931972.93143,
MAIN,0.0,0.7,400,dollars,DEF-0.5-OR,HT,216911875458.70154,0.010032591287232117,0.38740177557813554,99.67514586910768,0.5175741825262512,0.0,19.661460651845335,97392176376.829,
MAIN,0.0,0.7,400,dollars,DEF-0.75-OR,HT,182267005940.52216,0.005048886930848175,0.5711026633672033,198.06345709389998,0.8337664922857714,0.0,19.488184334851216,64052660588.53876,
MAIN,0.0,0.7,400,dollars,EQ-P,DIFF-OR,198403058858.8017,0.02,0.02,50.0,0.0,0.0,19.798989873223334,198393138705.8587,
MAIN,0.0,0.7,400,dollars,SRSWOR,DIFF-OR,198403058858.80164,,,,,,,,
MAIN,0.0,0.7,400,dollars,RA-OR,DIFF-OR,50469082114.390656,6.518257446423344e-05,0.7548035511562712,15341.523531702687,1.7774773876602563,0.0,19.242976377272033,50461728932.79874,
MAIN,0.75,0.05,100,rate,EQ-P,HT,198999.99999999997,0.005,0.005,200.0,0.0,0.0,9.974968671630002,189041.0807700764,
MAIN,0.75,0.05,100,rate,SRSWOR,EXP,189050.5332967412,,,,,,,,
