dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_fixed_equal_mean,rel_fixed_equal_median,rel_fixed_equal_p90,share_worse_than_equal,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_srswor_exp_mean,rel_srswor_exp_p90,rel_poisson_equal_mean,rel_poisson_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,min_pi_median
MAIN,0.0,0.05,100,dollars,HT,COR-500,DEF-0.5,0.35541006353358173,0.34071212091955966,0.4584227927998675,0.0,1.3897586387397536,1.332285328849618,1.7925689277186785,1.0,0.35541006353358173,0.4584227927998675,0.3640019700855421,0.46561679251131244,399.0640303694868,399.9990583031295,0.5240291446811938,0.002505863530450372
MAIN,0.0,0.05,100,dollars,HT,COR-500,DEF-0.75,0.32673096173462496,0.2884507984249254,0.6150925079271886,0.0,1.2776148545144905,1.127928075465262,2.4051939273102216,1.0,0.32673096173462496,0.6150925079271886,0.3356792320699143,0.6201611800381047,794.4103410545396,799.9943498454462,0.8457143192449664,0.0012587952956755583
MAIN,0.0,0.05,100,dollars,HT,COR-500,RA-EST,6.101963137847086,0.2697581924976763,28.382397255892737,0.115,23.86048357714341,1.054834448600367,110.98358156308477,0.98,6.101963137847086,28.382397255892737,6.033157377506873,28.01369365344711,85273.12965175242,85195691.94683108,1.8506930973257685,1.1727060900744322e-05
MAIN,0.0,0.05,100,dollars,HT,KS-2000,DEF-0.0,0.9999499999999999,0.9999499999999999,0.9999499999999999,0.0,3.910100735446701,3.910100735446701,3.910100735446701,1.0,0.9999499999999999,0.9999499999999999,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,HT,KS-2000,DEF-0.25,0.44657725420708416,0.4456646045186069,0.45996767107258957,0.0,1.7462493625770168,1.7426806319223642,1.7986098594356106,1.0,0.44657725420708416,0.45996767107258957,0.4539958983115922,0.4672125009805068,266.38335520949806,266.5238000149417,0.2777020199075514,0.003753988304616722
MAIN,0.0,0.05,100,dollars,HT,KS-2000,DEF-0.5,0.3322529005169452,0.3316218854311862,0.3410983315579962,0.0,1.2992072710291587,1.2967398151054579,1.3337955268609067,1.0,0.3322529005169452,0.3410983315579962,0.3411531983960788,0.34988618375292957,398.7278016579138,399.35778823635064,0.5202088078023368,0.0025079766092334435
MAIN,0.0,0.05,100,dollars,HT,KS-2000,DEF-0.75,0.28048018204928815,0.279785643988402,0.2868283387120917,0.0,1.096760604139353,1.0940447545642078,1.1215837773339719,1.0,0.28048018204928815,0.2868283387120917,0.2900436639057701,0.29631226258664645,792.4150577452383,796.1590635919127,0.8386017156674548,0.0012619649138501656
MAIN,0.0,0.05,100,dollars,HT,KS-2000,RA-EST,0.2605871272581537,0.2594290003823645,0.2643330930510246,0.0,1.018972866583379,1.0144442474036561,1.0336207025768414,1.0,0.2605871272581537,0.2643330930510246,0.27040839146514123,0.274110023980105,62683.332747853245,124376.7523814428,1.8035222060290677,1.5953218466887228e-05
MAIN,0.0,0.05,100,dollars,HT,MIS-G-10000,DEF-0.0,0.9999499999999999,0.9999499999999999,0.9999499999999999,0.0,3.910100735446701,3.910100735446701,3.910100735446701,1.0,0.9999499999999999,0.9999499999999999,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,HT,MIS-G-10000,DEF-0.25,0.44414822710127716,0.44398107122631786,0.4496618901891848,0.0,1.7367511469934018,1.7360975180023397,1.7583112030912396,1.0,0.44414822710127716,0.4496618901891848,0.451599475415832,0.45704144776215405,266.3778902637131,266.41686542994023,0.27634795013255375,0.003754065320552309
MAIN,0.0,0.05,100,dollars,HT,MIS-G-10000,DEF-0.5,0.32930370885663346,0.32915039858866857,0.33292324071753776,0.0,1.2876750579385456,1.2870755693725966,1.3018284998019336,1.0,0.32930370885663346,0.33292324071753776,0.3382428805094021,0.34181718901436686,398.7033145799752,398.8779965188569,0.5177067583148639,0.002508130641104618
MAIN,0.0,0.05,100,dollars,HT,MIS-G-10000,DEF-0.75,0.2770780112412741,0.2769535909792933,0.27920540885862577,0.0,1.0834571083860345,1.0829705883021545,1.0917758633119752,1.0,0.2770780112412741,0.27920540885862577,0.2866850878425582,0.28878661819210016,792.2700043806399,793.3055351807931,0.8340317199867011,0.0012621959616569275
MAIN,0.0,0.05,100,dollars,HT,MIS-G-10000,RA-EST,0.25599952876806303,0.25590479095845353,0.25636709017713744,0.0,1.0010339974098827,1.0006635445082086,1.0024712714095265,1.0,0.25599952876806303,0.25636709017713744,0.26587829958797915,0.26624134600101235,61495.81252649714,71101.03322735897,1.7788586693553445,1.6261282209236624e-05
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,DEF-0.0,0.9999499999999999,0.9999499999999999,0.9999499999999999,0.0,3.910100735446701,3.910100735446701,3.910100735446701,1.0,0.9999499999999999,0.9999499999999999,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,DEF-0.25,0.44539964980770436,0.44488376427247434,0.45987868315031294,0.0,1.741644580509833,1.7396273152358603,1.7982618902968137,1.0,0.44539964980770436,0.45987868315031294,0.4528343601178558,0.46712489339655183,266.36962509159906,266.4580716335873,0.2763476790311587,0.0037541818052879363
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,DEF-0.5,0.3303540388044186,0.3299766765549116,0.3397686669544736,0.0,1.291782159194905,1.2903065610056683,1.32859614434765,1.0,0.3303540388044186,0.3397686669544736,0.3392796670935333,0.34857629814677704,398.6662841806492,399.0627885842082,0.517497820751368,0.0025083636105758733
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,DEF-0.75,0.2779795165362767,0.27767615724097927,0.2835693078904693,0.0,1.0869822611606719,1.0857960364457893,1.1088400013327027,1.0,0.2779795165362767,0.2835693078904693,0.28757532152495435,0.29309692357597394,792.0507155267089,794.4029595689541,0.8334411675766917,0.0012625454158638094
MAIN,0.0,0.05,100,dollars,HT,MIS-G-2000,RA-EST,0.25684904848430246,0.25663062899137434,0.2581291339682616,0.0,1.004355871170815,1.0035017862466349,1.0093613846387515,1.0,0.25684904848430246,0.2581291339682616,0.26671750182711895,0.2679824576308349,59782.80507212237,85159.65083623,1.775343517642039,1.6727221151745968e-05
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.0,0.9999499999999999,0.9999499999999999,0.9999499999999999,0.0,3.910100735446701,3.910100735446701,3.910100735446701,1.0,0.9999499999999999,0.9999499999999999,1.0,1.0,200.0,200.0,0.0,0.005
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.25,0.4449806907700234,0.44476461059891237,0.4568387700260101,0.0,1.7400063265557772,1.7391613890729263,1.7863749294057385,1.0,0.4449806907700234,0.4568387700260101,0.4524205236761248,0.46412427130681444,266.3935892598336,266.47910305074294,0.2779676423458337,0.003753844087535211
MAIN,0.0,0.05,100,dollars,HT,MIS-I-2000,DEF-0.5,0.33057721522430905,0.33024666271713204,0.33846891131935974,0.0,1.2926548451127489,1.291362286883421,1.3235137147614109,1.0,0.33057721522430905,0.33846891131935974,0.33949938069897057,0.34729060500199516,398.77366330632196,399.15714944734736,0.5205679587641845,0.0025076881750704222
