dgp,sigma,prevalence,n,estimand,estimator,info,design,rel_bestconv_mean,rel_bestconv_median,rel_bestconv_p90,share_worse_than_bestconv,rel_fixed_equal_mean,rel_fixed_equal_p90,max_weight_median,max_weight_p90,cv_weights_median,lambda
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-10000,RA-EST,1.001045077701302,1.0006501369608427,1.0025924104742376,0.975,1.0008388453805763,1.002107071845641,220.69045006410894,244.75924268162748,0.023764563625952563,1.0
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-2000,DEF-0.0,1.0008317471065613,1.0007115233610624,1.0018703154437851,0.97,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-2000,DEF-0.25,1.001060745404561,1.0008814594226236,1.002366763484054,0.985,1.0001786695680832,1.0004297325714864,210.94782986652828,217.36330687124962,0.013568737669974823,0.25
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-2000,DEF-0.5,1.0017615652232903,1.0014201505008549,1.003873819537916,0.995,1.0008784736496428,1.0018972376790383,223.16361651057676,238.02808045065834,0.027136462476425427,0.5
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-2000,DEF-0.75,1.0029390318113827,1.002373121060911,1.0064251490031078,0.995,1.0020542284822078,1.0043281757595222,236.8811786805274,263.0348585789054,0.04072541121441568,0.75
MAIN,0.0,0.05,100,rate,DIFF,MIS-G-2000,RA-EST,1.004605065130995,1.0036374371781644,1.0100705158493624,0.995,1.003717831615874,1.0077612343011784,252.39559050157976,293.91277843093127,0.05435807926786657,1.0
MAIN,0.0,0.05,100,rate,DIFF,MIS-I-2000,DEF-0.0,1.0019114311890889,1.0015496408910471,1.0037196804949255,1.0,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,DIFF,MIS-I-2000,DEF-0.25,1.0024438768278552,1.0020322086276134,1.004713081243672,1.0,1.000481067854503,1.0009576819152515,213.82160660882155,223.1353536849616,0.02116222683271611,0.25
MAIN,0.0,0.05,100,rate,DIFF,MIS-I-2000,DEF-0.5,1.0040892352286277,1.003428952820173,1.0077006651320786,1.0,1.002122106304254,1.004119605740766,229.69542699280618,252.32329752024603,0.04241319546381321,0.5
MAIN,0.0,0.05,100,rate,DIFF,MIS-I-2000,DEF-0.75,1.006907641171012,1.0057756472262596,1.0130375531082703,1.0,1.0049330638929646,1.0095354437920367,248.11518582873586,290.2964693087133,0.06367737868833911,0.75
MAIN,0.0,0.05,100,rate,DIFF,MIS-I-2000,RA-EST,1.0110202035616254,1.0089553056583267,1.0212915273821055,1.0,1.0090346657345608,1.0174024490846292,269.7467931222212,341.72390765903776,0.08508638807187094,1.0
MAIN,0.0,0.05,100,rate,HT,COR-10000,DEF-0.0,0.99995,0.9999500000000001,0.9999500000000001,0.0,0.99995,0.9999500000000001,200.0,200.0,0.0,0.0
MAIN,0.0,0.05,100,rate,HT,COR-10000,DEF-0.25,1.0001145125565019,1.0000902201759119,1.0002470198531255,0.895,1.0001145125565019,1.0002470198531255,210.67938968410843,220.58509814569075,0.011514014018421788,0.25
