dgp,sigma,prevalence,info,estimand,fail_rate,n_pos_plan_mean,n_pos_plan_min,brier,logloss,calib_in_large,calib_slope,auc,score_pearson_HT,score_spearman_HT,score_pearson_DIFF,score_spearman_DIFF
MAIN,0.75,0.05,MIS-I-2000,rate,0.0,100.13,78,0.04531957648219465,0.18345036958972455,0.00030540693464518854,0.8718614608700088,0.7132728552720686,0.9415622048136751,0.9487195142505587,0.9489276756073042,0.9487185009456787
MAIN,0.75,0.25,COR-10000,dollars,0.0,2496.06,2379,0.1686499537067276,0.5138103605210247,6.157518055995153e-05,0.9990660083465142,0.6922691865469212,0.9998826376003679,0.9999132156169829,0.999902138920779,0.999936648817269
MAIN,0.75,0.25,COR-10000,rate,0.0,2496.06,2379,0.1686499537067276,0.5138103605210247,6.157518055995153e-05,0.9990660083465142,0.6922691865469212,0.9982235675834993,0.9981377261692918,0.9975061708630304,0.9974825408651636
MAIN,0.75,0.25,COR-2000,dollars,0.0,499.645,449,0.16906531912247225,0.5149711580065791,0.0006937252025456675,0.9857070778651049,0.6910915978367932,0.9993618792831733,0.9995163496268407,0.9994869513712641,0.9996255970696913
MAIN,0.75,0.25,COR-2000,rate,0.0,499.645,449,0.16906531912247225,0.5149711580065791,0.0006937252025456675,0.9857070778651049,0.6910915978367932,0.9906620367113497,0.9904185384532311,0.9861449090996185,0.9870464209705234
MAIN,0.75,0.25,COR-500,dollars,0.0,124.645,100,0.17097022672624274,0.5205415355563632,-0.00033941769130421516,0.8930037878597503,0.6846095371680118,0.9967191833008973,0.997463290199563,0.9974025138110769,0.9978848058059269
MAIN,0.75,0.25,COR-500,rate,0.0,124.645,100,0.17097022672624274,0.5205415355563632,-0.00033941769130421516,0.8930037878597503,0.6846095371680118,0.9548861700636065,0.9552520117241349,0.9337625685654349,0.9395788457525545
MAIN,0.75,0.25,KS-2000,dollars,0.0,498.77,450,0.16916581225081398,0.5152558206780534,-0.00033952789275504145,0.9856081991680042,0.6905075286723723,0.9991791415800649,0.9993316488604015,0.9993953850192113,0.9995059561990098
MAIN,0.75,0.25,KS-2000,rate,0.0,498.77,450,0.16916581225081398,0.5152558206780534,-0.00033952789275504145,0.9856081991680042,0.6905075286723723,0.9873964598392666,0.9862163838425458,0.9817025444003873,0.9825142242378354
MAIN,0.75,0.25,MIS-G-10000,dollars,0.0,2494.765,2369,0.1744587997060079,0.5275052274975949,-0.0006790146889575916,1.031001722819136,0.6741854885643511,0.9947127316234863,0.9957464420110985,0.9971577404268692,0.9980544113684684
MAIN,0.75,0.25,MIS-G-10000,rate,0.0,2494.765,2369,0.1744587997060079,0.5275052274975949,-0.0006790146889575916,1.031001722819136,0.6741854885643511,0.8714609949178853,0.8971730431056799,0.8938426750204361,0.8714205145403062
MAIN,0.75,0.25,MIS-G-2000,dollars,0.0,501.615,463,0.17467067905047137,0.5280791752081447,0.0010175722817114506,1.0276781796194008,0.6736327859503145,0.994524648675306,0.9956481660048128,0.9969510419599494,0.997991258981248
MAIN,0.75,0.25,MIS-G-2000,rate,0.0,501.615,463,0.17467067905047137,0.5280791752081447,0.0010175722817114506,1.0276781796194008,0.6736327859503145,0.8687049474903489,0.8940145146680761,0.8905314182407463,0.8679121152094501
MAIN,0.75,0.25,MIS-I-2000,dollars,0.0,499.7,457,0.16997371444832882,0.5172556105810037,0.00023394575436210333,0.9802263940635327,0.6897899348820783,0.9981459522631282,0.9985375051834111,0.9983927037225772,0.9988617534917017
MAIN,0.75,0.25,MIS-I-2000,rate,0.0,499.7,457,0.16997371444832882,0.5172556105810037,0.00023394575436210333,0.9802263940635327,0.6897899348820783,0.9702200657762647,0.9740800852845776,0.957174418058525,0.9600614158221183
MAIN,0.75,0.7,COR-10000,dollars,0.0,6998.395,6880,0.19127739036423408,0.5646138664536635,-0.0003567195970837872,0.9911631385563325,0.6827741135981056,0.999982650097271,0.9999789082145871,0.9998201959846028,0.9998567176684842
MAIN,0.75,0.7,COR-10000,rate,0.0,6998.395,6880,0.19127739036423408,0.5646138664536635,-0.0003567195970837872,0.9911631385563325,0.6827741135981056,0.9980175956484749,0.9983090136163548,0.997482236216568,0.9971462193779779
MAIN,0.75,0.7,COR-2000,dollars,0.0,1400.3,1352,0.19170099491387307,0.5657867638242162,0.00010286151565824297,0.9729008358570742,0.6816218411773839,0.9999130613786467,0.9998969039614946,0.9990583411944752,0.9991929549559972
MAIN,0.75,0.7,COR-2000,rate,0.0,1400.3,1352,0.19170099491387307,0.5657867638242162,0.00010286151565824297,0.9729008358570742,0.6816218411773839,0.9895936281185973,0.9914472296443754,0.9866078699335019,0.9863985125582961
MAIN,0.75,0.7,COR-500,dollars,0.0,350.255,322,0.1935149215315745,0.5711427019332789,-0.0003653383481912098,0.8908247251252165,0.6768021005652507,0.9995756941030762,0.9994729268727572,0.9956968255850631,0.9960297333844116
MAIN,0.75,0.7,COR-500,rate,0.0,350.255,322,0.1935149215315745,0.5711427019332789,-0.0003653383481912098,0.8908247251252165,0.6768021005652507,0.9574895805755804,0.9630785572325586,0.9469164401768125,0.9434592939243277
MAIN,0.75,0.7,KS-2000,dollars,0.0,1401.265,1346,0.19181038553992547,0.566026621918864,0.00018985290243097918,0.976812136292409,0.6810127760002702,0.9998953496591011,0.9998768062220269,0.9989361058462879,0.9992115544992263
MAIN,0.75,0.7,KS-2000,rate,0.0,1401.265,1346,0.19181038553992547,0.566026621918864,0.00018985290243097918,0.976812136292409,0.6810127760002702,0.9866429598154423,0.9877577121371891,0.9843276906011929,0.9822036337696365
MAIN,0.75,0.7,MIS-G-10000,dollars,0.0,7005.26,6874,0.19445014742964062,0.573512316340026,0.00022453991462532296,1.05554543308675,0.6669442898373741,0.9996015374502631,0.9993873732641483,0.9918767058767137,0.9933283577760708
MAIN,0.75,0.7,MIS-G-10000,rate,0.0,7005.26,6874,0.19445014742964062,0.573512316340026,0.00022453991462532296,1.05554543308675,0.6669442898373741,0.9148824492171386,0.8975554459059759,0.8199971620390835,0.8838687654432442
MAIN,0.75,0.7,MIS-G-2000,dollars,0.0,1398.805,1343,0.19469917200318843,0.5741434414212047,-0.0009593303672907933,1.0487103183663473,0.6665009950836372,0.9995740745981813,0.9993657660933818,0.9915648436228972,0.9932482458476454
MAIN,0.75,0.7,MIS-G-2000,rate,0.0,1398.805,1343,0.19469917200318843,0.5741434414212047,-0.0009593303672907933,1.0487103183663473,0.6665009950836372,0.9122106837123822,0.8949906374657715,0.816732186879786,0.879870887851262
MAIN,0.75,0.7,MIS-I-2000,dollars,0.0,1403.77,1344,0.1922899136922298,0.5674918047385873,0.0008659008116225431,1.0249761766642889,0.6794651025113574,0.999801517311702,0.9997478789034395,0.997612174716088,0.9975186333996013
MAIN,0.75,0.7,MIS-I-2000,rate,0.0,1403.77,1344,0.1922899136922298,0.5674918047385873,0.0008659008116225431,1.0249761766642889,0.6794651025113574,0.9734246621557051,0.9811534699037036,0.9521114108803189,0.9739991316867102
MAIN,1.5,0.05,COR-10000,dollars,0.0,492.675,443,0.03617043561159126,0.140399029377282,0.00013658863002805543,0.9911399310060957,0.8725623284918312,0.9990874283446233,0.9994984073465184,0.9990304111443793,0.9994977857111168
MAIN,1.5,0.05,COR-10000,rate,0.0,492.675,443,0.03617043561159126,0.140399029377282,0.00013658863002805543,0.9911399310060957,0.8725623284918312,0.9979059412750145,0.9973142641357055,0.9971591868155144,0.9972299015267921
MAIN,1.5,0.05,COR-2000,dollars,0.0,98.18,79,0.03643112213160639,0.14169729532239222,6.269818200324253e-05,0.9747634931977761,0.8704144337340861,0.9952326086665146,0.9972537315855518,0.9947490068263288,0.9972030609049876
MAIN,1.5,0.05,COR-2000,rate,0.0,98.18,79,0.03643112213160639,0.14169729532239222,6.269818200324253e-05,0.9747634931977761,0.8704144337340861,0.9893495078253922,0.9862460007965224,0.9855747626318327,0.9857058526432094
MAIN,1.5,0.05,COR-500,dollars,0.005,24.675,14,0.03752679876040663,0.1482212342055396,0.0007828630776658333,0.8651604840268754,0.8584160627183322,0.9774248337584208,0.9861964362069234,0.975641160661261,0.9859297745914068
MAIN,1.5,0.05,COR-500,rate,0.005,24.675,14,0.03752679876040663,0.1482212342055396,0.0007828630776658333,0.8651604840268754,0.8584160627183322,0.9544018160166704,0.9400304658991093,0.9364232944096077,0.9376229391219141
MAIN,1.5,0.05,KS-2000,dollars,0.0,97.995,77,0.03649504153387163,0.14201829671980645,0.00022925863607505296,0.9544368828010893,0.8696826766237679,0.9939090529539492,0.9964965787547888,0.9936160948783882,0.9964785810437288
MAIN,1.5,0.05,KS-2000,rate,0.0,97.995,77,0.03649504153387163,0.14201829671980645,0.00022925863607505296,0.9544368828010893,0.8696826766237679,0.986389512561888,0.9819424879344235,0.9815430187426678,0.9813865867406238
MAIN,1.5,0.05,MIS-G-10000,dollars,0.0,491.74,419,0.043378372551556375,0.16601096335648896,-0.0009065832731875642,1.0507498111465792,0.8142659012214782,0.9558816463198454,0.9791926019915138,0.9721036061548465,0.9821012874300081
MAIN,1.5,0.05,MIS-G-10000,rate,0.0,491.74,419,0.043378372551556375,0.16601096335648896,-0.0009065832731875642,1.0507498111465792,0.8142659012214782,0.7631932035455107,0.8923674549609134,0.813391629385466,0.889904677873409
MAIN,1.5,0.05,MIS-G-2000,dollars,0.0,97.945,71,0.04349154720304555,0.16660935223094378,-0.001025546564239036,1.0562371566067923,0.8133708356668279,0.9548095922458815,0.9787186304238564,0.9710006554170225,0.9816571676360702
MAIN,1.5,0.05,MIS-G-2000,rate,0.0,97.945,71,0.04349154720304555,0.16660935223094378,-0.001025546564239036,1.0562371566067923,0.8133708356668279,0.761193990898514,0.8908448998359171,0.8115680031166996,0.8883888160339994
MAIN,1.5,0.05,MIS-I-2000,dollars,0.0,97.645,62,0.03721211565935931,0.1445385955657649,-0.0005714071927369314,0.8698125681892229,0.8666524722125881,0.9844277618951294,0.9896354205020509,0.9826177991070825,0.9895717096327217
MAIN,1.5,0.05,MIS-I-2000,rate,0.0,97.645,62,0.03721211565935931,0.1445385955657649,-0.0005714071927369314,0.8698125681892229,0.8666524722125881,0.9635630844012114,0.9572956438158939,0.9585551541471599,0.9560839907911474
MAIN,1.5,0.25,COR-10000,dollars,0.0,2493.37,2363,0.13680767308981143,0.4270792222978694,0.00012052965281577954,0.9968528203767143,0.8154821264979382,0.9998812848590058,0.9998949288018771,0.9997816435590452,0.9998471044083627
MAIN,1.5,0.25,COR-10000,rate,0.0,2493.37,2363,0.13680767308981143,0.4270792222978694,0.00012052965281577954,0.9968528203767143,0.8154821264979382,0.9993412438403142,0.9993256097763188,0.9986787135080232,0.998524429980746
MAIN,1.5,0.25,COR-2000,dollars,0.0,500.11,459,0.13717796379894975,0.42822360530673315,0.0009112810016430734,0.9843318333375476,0.8148041258928298,0.9994397076843475,0.9995006078649363,0.9988891459877094,0.9992493877295783
MAIN,1.5,0.25,COR-2000,rate,0.0,500.11,459,0.13717796379894975,0.42822360530673315,0.0009112810016430734,0.9843318333375476,0.8148041258928298,0.996897884245776,0.9968430526067474,0.9937268055982043,0.9930940196178849
MAIN,1.5,0.25,COR-500,dollars,0.0,125.94,102,0.13875396380393998,0.4334829649140468,0.0003985309618073563,0.9445678821541377,0.8114442346740985,0.9973208040001414,0.9972847199804566,0.9953919187368824,0.9958021308855001
MAIN,1.5,0.25,COR-500,rate,0.0,125.94,102,0.13875396380393998,0.4334829649140468,0.0003985309618073563,0.9445678821541377,0.8114442346740985,0.9854661938302499,0.9853910285333165,0.9709912599297437,0.9699124460200775
MAIN,1.5,0.25,KS-2000,dollars,0.0,498.775,448,0.137303146589593,0.42859906777989987,0.0004349967724073432,0.9875164188725986,0.8145191237774495,0.9993625706649315,0.9993173429654383,0.9988542383815827,0.9990702339738103
MAIN,1.5,0.25,KS-2000,rate,0.0,498.775,448,0.137303146589593,0.42859906777989987,0.0004349967724073432,0.9875164188725986,0.8145191237774495,0.9958851888413452,0.9957452771605355,0.9921916581104334,0.9912258504352394
MAIN,1.5,0.25,MIS-G-10000,dollars,0.0,2494.095,2394,0.1524486491198132,0.4667439893557113,-0.00047731951665921246,1.1177004924275977,0.779754163056857,0.9912321860290892,0.9885956815541016,0.98578673244822,0.9875997335990166
MAIN,1.5,0.25,MIS-G-10000,rate,0.0,2494.095,2394,0.1524486491198132,0.4667439893557113,-0.00047731951665921246,1.1177004924275977,0.779754163056857,0.8777242366326986,0.8975502911061857,0.8430141048790442,0.811027435719206
MAIN,1.5,0.25,MIS-G-2000,dollars,0.0,497.285,435,0.15263092057467942,0.46726336948173114,-0.0003609686208218436,1.1146763173774863,0.779514763696224,0.9910809237545629,0.9885047203589217,0.9854120256149181,0.9875147233931066
MAIN,1.5,0.25,MIS-G-2000,rate,0.0,497.285,435,0.15263092057467942,0.46726336948173114,-0.0003609686208218436,1.1146763173774863,0.779514763696224,0.8769302677056815,0.8967623254238981,0.8417373441378391,0.8095871442410953
MAIN,1.5,0.25,MIS-I-2000,dollars,0.0,499.115,457,0.13885144692203144,0.4332841641955176,-0.0001725610131472763,1.0062014213061428,0.8114943136725767,0.9970271104432286,0.9966963053075781,0.9955513743297515,0.9939191360598026
MAIN,1.5,0.25,MIS-I-2000,rate,0.0,499.115,457,0.13885144692203144,0.4332841641955176,-0.0001725610131472763,1.0062014213061428,0.8114943136725767,0.9813055121048349,0.9808601437167777,0.9516440998548397,0.955459660843714
MAIN,1.5,0.7,COR-10000,dollars,0.0,7004.38,6864,0.15814474897822667,0.4795814328510955,-0.0002556306110353951,0.9939803852851972,0.8021137233883594,0.9999788590396294,0.9999646445748489,0.9996606717993167,0.999610667029129
MAIN,1.5,0.7,COR-10000,rate,0.0,7004.38,6864,0.15814474897822667,0.4795814328510955,-0.0002556306110353951,0.9939803852851972,0.8021137233883594,0.999181618003714,0.9992875605181039,0.9984868364383689,0.9980211049427901
MAIN,1.5,0.7,COR-2000,dollars,0.0,1400.82,1338,0.15853831690192555,0.4807995098980299,-0.00023359623110772164,0.9753444775549396,0.8013593744862142,0.9998926953599487,0.9998217093041916,0.9984152382993162,0.9980397852236393
MAIN,1.5,0.7,COR-2000,rate,0.0,1400.82,1338,0.15853831690192555,0.4807995098980299,-0.00023359623110772164,0.9753444775549396,0.8013593744862142,0.9961370850577732,0.9966328047908243,0.9927644457238891,0.9910687929339168
MAIN,1.5,0.7,COR-500,dollars,0.0,350.865,327,0.16011475727373084,0.4859469581429125,0.0007890041514116642,0.9254780867100725,0.7986161261342452,0.9995429709760829,0.9991696341422664,0.9930869131763482,0.9924577735164468
MAIN,1.5,0.7,COR-500,rate,0.0,350.865,327,0.16011475727373084,0.4859469581429125,0.0007890041514116642,0.9254780867100725,0.7986161261342452,0.9844941668796064,0.9869386608373516,0.9721377381001544,0.9662274716613162
MAIN,1.5,0.7,KS-2000,dollars,0.0,1401.77,1339,0.1586627951732856,0.48110595107644644,0.0006219440298113282,0.9854467256090144,0.8010787097391298,0.9998891416173109,0.9997953861910434,0.9981101116565282,0.9980372079266553
MAIN,1.5,0.7,KS-2000,rate,0.0,1401.77,1339,0.1586627951732856,0.48110595107644644,0.0006219440298113282,0.9854467256090144,0.8010787097391298,0.9951550643480411,0.995849486172876,0.9917425258812691,0.9890147332974716
MAIN,1.5,0.7,MIS-G-10000,dollars,0.0,7014.675,6900,0.1662815836720701,0.5027853813122494,0.0005416374319536876,1.0995987214455223,0.7770108968386359,0.9992957640862273,0.9980304958615861,0.9737470920060669,0.9663482394762454
MAIN,1.5,0.7,MIS-G-10000,rate,0.0,7014.675,6900,0.1662815836720701,0.5027853813122494,0.0005416374319536876,1.0995987214455223,0.7770108968386359,0.9227408843953576,0.8979252198964229,0.8242105908316205,0.8293103138524032
MAIN,1.5,0.7,MIS-G-2000,dollars,0.0,1402.605,1321,0.16650250118473803,0.5033923949685163,0.000804807205488326,1.0966780251883947,0.7767526899745397,0.999260474975927,0.9979989744873398,0.973184943553243,0.9662057558458167
MAIN,1.5,0.7,MIS-G-2000,rate,0.0,1402.605,1321,0.16650250118473803,0.5033923949685163,0.000804807205488326,1.0966780251883947,0.7767526899745397,0.9216851659958835,0.8970139520104847,0.8224076729151255,0.8269708606048495
MAIN,1.5,0.7,MIS-I-2000,dollars,0.0,1401.88,1353,0.15953689341337296,0.4840595801672334,8.557597379369398e-05,1.0657042930842422,0.7983755632779801,0.9996115615341398,0.9993280855093452,0.9955279935356878,0.987738681324234
