dgp,sigma,prevalence,n,estimand,estimator_family,info,baseline,oracle_gain_vs_srswor,oracle_gain_vs_bestconv,raest_rel_bestconv_mean,raest_rel_bestconv_p90,raest_share_worse,def_reliable,region
MAIN,0.0,0.7,100,rate,DIFF,MIS-I-2000,best conventional (EXP or DIFF),5.000000000043858e-05,5.000000000043858e-05,1.0022826473061182,1.0046171292302628,1.0,,A
MAIN,0.0,0.7,400,dollars,HT,COR-10000,PPS-A/HT(fixed),0.905977014465335,0.0,1.000185147585671,1.000327091795291,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,HT,COR-2000,PPS-A/HT(fixed),0.905977014465335,0.0,1.0008945273938006,1.0016682882034953,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,HT,COR-500,PPS-A/HT(fixed),0.905977014465335,0.0,1.0044171333751188,1.009437193651431,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,HT,KS-2000,PPS-A/HT(fixed),0.905977014465335,0.0,1.0010780489113005,1.0018203984989225,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,HT,MIS-G-10000,PPS-A/HT(fixed),0.905977014465335,0.0,1.000066435983409,1.000166198819589,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,HT,MIS-G-2000,PPS-A/HT(fixed),0.905977014465335,0.0,1.0003107582978865,1.000802514524053,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,HT,MIS-I-2000,PPS-A/HT(fixed),0.905977014465335,0.0,1.0007171164403492,1.001394256282895,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,DIFF,COR-10000,best conventional (EXP or DIFF),0.9059770144653351,3.3306690738754696e-16,1.000606615932429,1.0010752003224952,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,DIFF,COR-2000,best conventional (EXP or DIFF),0.9059770144653351,3.3306690738754696e-16,1.0030265144602355,1.005661470472201,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,DIFF,COR-500,best conventional (EXP or DIFF),0.9059770144653351,3.3306690738754696e-16,1.0147590081387843,1.027379646077868,1.0,,A-conv
MAIN,0.0,0.7,400,dollars,DIFF,KS-2000,best conventional (EXP or DIFF),0.9059770144653351,3.3306690738754696e-16,1.003548882011664,1.0064877188977568,1.0,,A-conv
