dgp,sigma,prevalence,n,estimand,info,estimator,design,rule,rel_mean,rel_median,rel_p90,maxw_p90,n_changed
MAIN,0.0,0.05,100,rate,COR-500,DIFF,RA-EST,archived,22.63147622920179,1.0559624518512245,168.97750029650567,324963.5412895903,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,RA-EST,separation-aware,1.1687333586015045,1.0431293898150555,1.144991032887604,3422.6281565912486,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,SRSWOR,archived,1.012969180035153,1.0099426709422432,1.0247391251117723,,21
MAIN,0.0,0.05,100,rate,COR-500,DIFF,SRSWOR,separation-aware,1.0115928908955711,1.0084217552007257,1.0232555426834213,,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.0,archived,0.99995,0.9999500000000001,0.9999500000000001,200.0,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.0,separation-aware,0.99995,0.9999500000000001,0.9999500000000001,200.0,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.25,archived,1.0041015452901083,1.0030175447523193,1.01022230476654,266.61356470362495,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.25,separation-aware,1.002824279542596,1.0023538252048683,1.0052664235373916,261.70132598395907,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.5,archived,1.0185983565524113,1.012175287928052,1.0563425606716461,399.7611362974569,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.5,separation-aware,1.0117447796674321,1.0094587386575853,1.0213350770304623,378.4591189016906,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.75,archived,1.056852619509745,1.027724633045395,1.2432280855782223,798.5685274217841,21
MAIN,0.0,0.05,100,rate,COR-500,HT,DEF-0.75,separation-aware,1.0291608180296403,1.0221157572621085,1.0557205953314082,683.3335694931051,21
MAIN,0.0,0.05,100,rate,COR-500,HT,RA-EST,archived,23.267667177596856,1.053509165311135,172.4058487511462,334719.5911617182,21
MAIN,0.0,0.05,100,rate,COR-500,HT,RA-EST,separation-aware,1.1702990400674769,1.0420077148596794,1.1424084171736952,3518.646707088795,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.0,archived,4.043873871832984,3.9845617674066895,4.194591446217957,50.0,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.0,separation-aware,4.036054465387883,3.980647480347881,4.194591446217957,50.0,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.25,archived,1.8343275803434032,1.8078546248453438,1.9946180797878184,66.66661347935862,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.25,separation-aware,1.7994757668911772,1.7779100352030057,1.8985202642470507,66.64433148602268,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.5,archived,1.4114640820266728,1.347223336863931,1.8598271302663132,99.99976065749657,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.5,separation-aware,1.3439777754941449,1.322747411409865,1.4223658978258844,99.8995590912314,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.75,archived,1.2974056514469425,1.1370121566934355,2.506108662393362,199.99856395186998,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,DEF-0.75,separation-aware,1.143157539239436,1.120757578192833,1.214252637331163,199.39856456918986,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,RA-EST,archived,24.534445203141544,1.0591938403773589,116.18112189543798,20947889.624708056,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,RA-EST,separation-aware,1.2054841343446716,1.0469797104173932,1.1589354788265602,49815.79956229463,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,SRSWOR,archived,4.044076075636766,3.9847610054569627,4.194801186277272,,21
MAIN,0.0,0.05,400,dollars,COR-500,DIFF,SRSWOR,separation-aware,4.036256278201793,3.980846522674015,4.194801186277272,,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.0,archived,4.0827657288700285,4.0827657288700285,4.0827657288700285,50.0,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.0,separation-aware,4.0827657288700285,4.0827657288700285,4.0827657288700285,50.0,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.25,archived,1.8459605483518906,1.8247857270964802,1.9997792427882273,66.66661435009155,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.25,separation-aware,1.8137680645858985,1.7990688034633404,1.9180685290627069,66.645071887202,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.5,archived,1.4125363384973944,1.351760147399332,1.8398818383166007,99.99976457578238,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.5,separation-aware,1.3467986450588085,1.3305625224354858,1.4349506605718767,99.90288650262278,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.75,archived,1.29397386341366,1.1353730510578521,2.489282889539424,199.99858746136155,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,DEF-0.75,separation-aware,1.1410381757645647,1.120397569817741,1.213273791856507,199.4184502596601,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,RA-EST,archived,25.23126746729122,1.057973709936433,117.59715747267526,21298922.98670777,21
MAIN,0.0,0.05,400,dollars,COR-500,HT,RA-EST,separation-aware,1.2110876136617093,1.0455765215533823,1.1586816518664418,51523.8226345053,21
MAIN,0.0,0.05,400,rate,COR-500,DIFF,DEF-0.0,archived,1.012918531576151,1.0098921738086961,1.0246878881555166,50.0,21
