scenario,estimand,design,cov_lb90,wilson_lo,wilson_hi,learned,n_fits,cluster_se,cluster_lo,cluster_hi,fit_cov_min,fit_cov_p10,fit_cov_p50,design_effect
S7,rate,ST-PROP/EXP,0.8967,0.8905815964748323,0.9025137280253077,False,,,,,,,,
S7,rate,ST-EQD/EXP,0.8903,0.8840241594233761,0.8962760804364792,False,,,,,,,,
S7,dollars,EQ-P/HT,0.925,0.9196727360590174,0.930000853334881,False,,,,,,,,
S7,dollars,PPS-A/HT,0.8976,0.8915042932287225,0.9033903400489574,False,,,,,,,,
S7,dollars,RA-OR/HT,0.9027,0.8967356446977566,0.9083550716526501,False,,,,,,,,
S7,dollars,RA-EST(COR-2000)/HT,0.9034,0.8974540473894494,0.9090361313434885,True,200.0,0.002853579256453957,0.8978069846573502,0.9089930153426498,0.76,0.86,0.9,0.9330881327618917
S7,dollars,DEF-0.5(COR-2000)/HT,0.9093,0.903512942582495,0.9147727048032053,True,200.0,0.002953160303622962,0.903511805804899,0.915088194195101,0.76,0.86,0.92,1.0574493287474325
S7,dollars,EQ-P/DIFF(COR-2000),0.8393,0.8319717287615852,0.8463676803710024,True,200.0,0.0037760884816308957,0.8318988665760035,0.8467011334239966,0.7,0.76,0.84,1.0571855647556423
S7,dollars,RA-EST/DIFF(COR-2000),0.8887,0.882385846558617,0.8947156221411674,True,200.0,0.0028762674724135654,0.8830625157540695,0.8943374842459306,0.76,0.84,0.9,0.8363887743461176
S7,dollars,DEF-0.5/DIFF(COR-2000),0.8857,0.8793150893988609,0.8917886833757899,True,200.0,0.0031903670965980195,0.8794468804906679,0.8919531195093322,0.76,0.82,0.9,1.005422130145369
S7,dollars,RA-EST(MIS-G-2000)/HT,0.9031,0.8971461491885747,0.9087442599518499,True,200.0,0.0028745897675421946,0.8974658040556173,0.9087341959443828,0.76,0.86,0.9,0.9442611707773544
S7,dollars,DEF-0.5(MIS-G-2000)/HT,0.909,0.9032046948136743,0.9144811829795128,True,200.0,0.0030066927021272266,0.9031068823038306,0.9148931176961694,0.76,0.86,0.92,1.0928808381417965
S7,dollars,SRSWOR/EXP,0.9291,0.9239029961572105,0.9339674443343702,False,,,,,,,,
S7,dollars,SRSWOR/DIFF(COR-2000),0.8364,0.8290207802237861,0.8435208561811727,True,200.0,0.003777106387608983,0.8289968714802864,0.8438031285197136,0.68,0.76,0.84,1.0426081406719052
S7,dollars,ST-PROP/EXP,0.9142,0.9085503493120821,0.919531534751336,False,,,,,,,,
S7,dollars,ST-EQD/EXP,0.9056,0.8997124940009259,0.9111759950771098,False,,,,,,,,
S8,rate,EQ-P/HT,0.9333,0.928241482140045,0.9380257326467224,False,,,,,,,,
S8,rate,PPS-A/HT,0.9658,0.9620551676583639,0.9691870863173487,False,,,,,,,,
S8,rate,RA-OR/HT,0.9283,0.9230772095568223,0.9331938453547228,False,,,,,,,,
S8,rate,RA-EST(STRAT-2000)/HT,0.9284,0.9231804228580001,0.9332905552510495,True,200.0,0.0025651706575806135,0.923372265511142,0.933427734488858,0.8,0.88,0.94,0.9898841556135138
S8,rate,DEF-0.5(STRAT-2000)/HT,0.9277,0.922457989353658,0.9326135263728603,True,200.0,0.0026283246474249145,0.9225484836910471,0.9328515163089528,0.8,0.88,0.94,1.0299405603652063
S8,rate,EQ-P/DIFF(STRAT-2000),0.9169,0.9113283225421382,0.9221514878539001,True,200.0,0.002637562069097466,0.911730378344569,0.922069621655431,0.82,0.86,0.92,0.913024393048059
S8,rate,RA-EST/DIFF(STRAT-2000),0.9192,0.913696078688033,0.9243819652506076,True,200.0,0.0027006048084935136,0.9139068145753527,0.9244931854246473,0.82,0.88,0.92,0.9819756002392159
