scenario,dgp,sigma,prevalence,n,estimand,design,R,true_total,bias,rel_bias,mc_se_bias,emp_var,rmse,mean_var_hat,cov_lb90,cov_lb90_lo,cov_lb90_hi,cov_2s95,mean_lb_shortfall,mean_width95,mean_size,sd_size,zero_error_freq,var_estimator
S8,STRATCAP,1.5,0.25,100,dollars,RA-OR/HT,10000,5984400.743887034,-1331.991961770691,-0.0002225773337675119,7279.773085358032,529950961743.0321,727942.127403988,521398429771.4579,0.9165,0.9109166657615745,0.9217634518444459,0.9432,923951.9502924732,2822050.9238386764,99.921,9.892904477452515,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,RA-EST(STRAT-2000)/HT,10000,5984400.743887034,-2129.082029763609,-0.0003557719679682934,7413.122075414771,549543789050.018,741278.198560704,537452786717.8478,0.9128,0.9071105622457152,0.9181723970526405,0.9425,938685.280590579,2864678.204184299,99.9152,9.887548177379466,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,DEF-0.5(STRAT-2000)/HT,10000,5984400.743887034,-3470.2033604029566,-0.0005798748293966964,8892.527196432793,790770399392.9688,889215.027237165,785634093227.068,0.9176,0.9120488115827671,0.9228304611958021,0.941,1135233.2882188417,3461764.5438431497,99.9606,9.9383624224517,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,EQ-P/DIFF(STRAT-2000),10000,5984400.743887034,-1897.4308818718418,-0.0003170628042933181,7798.466918529889,608160862794.0507,779810.0069579274,625948380033.8447,0.8725,0.8658194137770319,0.878894496927032,0.9277,860847.4850578888,2627301.4929185556,99.9723,9.952925836657279,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,RA-EST/DIFF(STRAT-2000),10000,5984400.743887034,1904.9251131638885,0.00031831509865206433,4132.6552151218375,170788391270.7372,413249.2482404498,169033705127.55835,0.8928,0.8865848478684839,0.8987134719289827,0.9474,503162.8438748111,1544868.9909683943,100.0061,9.974651010937675,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,DEF-0.5/DIFF(STRAT-2000),10000,5984400.743887034,-2466.2882648939267,-0.0004121195037637142,4852.084043678782,235427195669.2224,485190.41161946004,230475746908.18,0.8834,0.8769617707278253,0.8895437685042232,0.941,583118.7997935247,1776062.7675488396,100.0751,9.980313621825719,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,SRSWOR/EXP,10000,5984400.743887034,-32517.811761707067,-0.005433762402179278,17253.783911183284,2976930592538.071,1725598.5360333924,2935791622628.1074,0.9487,0.9442011559778062,0.9528542312246461,0.8888,2099380.7595403744,6321988.20170767,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,SRSWOR/DIFF(STRAT-2000),10000,5984400.743887034,-4023.307793185115,-0.0006722991934146217,7865.474377470269,618656871826.4132,786518.3997497002,595548524047.9652,0.873,0.8663301743314945,0.8793833523600917,0.9311,848833.777222677,2584052.235370715,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,ST-PROP/EXP,10000,5984400.743887034,-1036.891866470687,-0.00017326578062638182,8890.641895657744,790435133168.2473,889020.3399246124,796099917623.4537,0.9116,0.9058767991988123,0.9170070817294903,0.9041,989503.0495601429,3023457.0673603746,100.0,0.0,0.0,
S8,STRATCAP,1.5,0.25,100,dollars,ST-EQD/EXP,10000,5984400.743887034,-1122.2189714629203,-0.0001875240344840289,4416.494185358651,195054208893.06772,441628.7613455427,196152931057.0204,0.9118,0.9060824048379057,0.9172013224854059,0.9462,564323.2731659565,1722683.365935592,100.0,0.0,0.0,
